LOCAL_IP: 192.168.103.124
FIRST_TS: 1779412536.700578

 132.030s | TLS ClientHello | encryption-a.wbx2.com                                   | 192.168.103.124 -> 170.72.245.84:443
 132.064s | TLS ClientHello | meeting-container-a.wbx2.com                            | 192.168.103.124 -> 170.72.245.244:443
 132.105s | DNS Query       | locus-a.wbx2.com                                        | 192.168.103.124 -> 64.104.14.184
 132.174s | DNS Query       | binaries.webex.com                                      | 192.168.103.124 -> 64.104.14.184
 132.208s | TLS ClientHello | binaries.webex.com                                      | 192.168.103.124 -> 18.172.52.110:443
 132.232s | TLS ClientHello | raindrop-a.wbx2.com                                     | 192.168.103.124 -> 170.72.245.206:443
 132.317s | TLS ClientHello | locus-a.wbx2.com                                        | 192.168.103.124 -> 170.72.245.45:443
 132.605s | DNS Query       | reminder-a.wbx2.com                                     | 192.168.103.124 -> 64.104.14.184
 132.630s | DNS Query       | drafts-a.wbx2.com                                       | 192.168.103.124 -> 64.104.14.184
 132.819s | TLS ClientHello | reminder-a.wbx2.com                                     | 192.168.103.124 -> 170.72.245.209:443
 132.836s | TLS ClientHello | drafts-a.wbx2.com                                       | 192.168.103.124 -> 170.72.245.110:443
 133.005s | DNS Query       | _xsi-client._tcp.wxt-jp.bcld.webex.com                  | 192.168.103.124 -> 64.104.14.184
 133.005s | DNS Query       | wxt-jp.bcld.webex.com                                   | 192.168.103.124 -> 64.104.14.184
 133.064s | DNS Query       | janus-a.wbx2.com                                        | 192.168.103.124 -> 64.104.14.184
 133.073s | DNS Query       | ty01.hosted-jp.bcld.webex.com                           | 192.168.103.124 -> 64.104.14.184
 133.088s | DNS Query       | _sips._tcp.ty01.hosted-jp.bcld.webex.com                | 192.168.103.124 -> 64.104.14.184
 133.090s | DNS Query       | _sips._tls.ty01.hosted-jp.bcld.webex.com                | 192.168.103.124 -> 64.104.14.184
 133.099s | DNS Query       | sse-a3.public.jp-13wrtm1.prod.infra.webex.com           | 192.168.103.124 -> 64.104.14.184
 133.099s | DNS Query       | sse-a7.b21.prod.infra.webex.com                         | 192.168.103.124 -> 64.104.14.184
 133.100s | DNS Query       | sse-a9.b21.prod.infra.webex.com                         | 192.168.103.124 -> 64.104.14.184
 133.108s | DNS Query       | sse-a2.public.jp-13wrtm1.prod.infra.webex.com           | 192.168.103.124 -> 64.104.14.184
 133.272s | TLS ClientHello | janus-a.wbx2.com                                        | 192.168.103.124 -> 170.72.245.244:443
 135.796s | DNS Query       | insights-a.webex.com                                    | 192.168.103.124 -> 64.104.14.184
 136.027s | TLS ClientHello | insights-a.webex.com                                    | 192.168.103.124 -> 144.196.56.122:443
